file_name,uni,wylie,url,dept,grade,char_len,audio_len,path,inf
STT_TT00303_545.800-546.300,མིའི་ཡོན་ཏན་བྱས།  ,mi'i yon tan byas/__,https://d38pmlk0v88drf.cloudfront.net/wav16k/STT_TT00303_545.800-546.300.wav,STT_TT,3,18,0.5,wav16k/STT_TT00303_545.800-546.300.wav,མིའི་ཡོན་ཏན
STT_CS-D-2013-M-D-B01-0-R-02_0051_325941_to_333779,ཁྱེད་ཚོ་རེད་ད། ཨ་ལས། ང་ད་གང་ཚང་ཤེས་ཀི་ཡོད། ཁྱོད་ཚོ་གཅིག་གཉིས་ཤིག ཨོ་གཅིག་གཉིས་ཤིག་ཤེས་ཀི་མ་རེད་ལབ་རེད་ད། ད་ནང་ལ་འགྲོ་དང་ཨ་ནས།  ,khyed tsho red da/_a las/_nga da gang tshang shes ki yod/_khyod tsho gcig gnyis shig_o gcig gnyis shig shes ki ma red lab red da/_da nang la 'gro dang a nas/__,https://d38pmlk0v88drf.cloudfront.net/wav16k/STT_CS-D-2013-M-D-B01-0-R-02_0051_325941_to_333779.wav,STT_CS,3,127,7.838,wav16k/STT_CS-D-2013-M-D-B01-0-R-02_0051_325941_to_333779.wav,ཁྱོད་ཚོ་ད། ང་ད་སགང་ཚང་ཤེས་ཀྱི་ཡོད། ཁྱེད་ཚོ་གཅིག་ནིས། གཅིག་ནི་ཤེས་ཀྱི་མ་རེད་ལབ་རེད། ད་ནང་འགྲོ་རུག་ཨ་ནས།
STT_TT00513_0204_1246322_to_1249522,དཔེ་མི་སྲིད་པ་རིམ་ལྔ་གསལ་སྒྲོན་ལྟ་མཁན་ཅིག་ཡིན་ན་ཕན་པོ་ཞེ་བོ་ཅིག་ཡོད་རེད།  ,dpe mi srid pa rim lnga gsal sgron lta mkhan cig yin na phan po zhe bo cig yod red/__,https://d38pmlk0v88drf.cloudfront.net/wav16k/STT_TT00513_0204_1246322_to_1249522.wav,STT_TT,3,74,3.2,wav16k/STT_TT00513_0204_1246322_to_1249522.wav,དཔེ་མི་སྲིད་པ་རིམ་ལྔ་གསལ་སྒྲོན་ལྟ་མཁན་ཅེ་ཡིན་ན། ཕན་པོ་ཞེ་བོ་ཅིག་ཡོད་རེད།
STT_TT00520_0567_3627807_to_3631595,ད་རྒྱུད་ཀུན་གྱི་དོན་རེད་བ། རྒྱུད་ཀུན་གྱི་དོན་བསྡུས་པ་གསུངས་པ་ནི།  ,da rgyud kun gyi don red ba/_rgyud kun gyi don bsdus pa gsungs pa ni/__,https://d38pmlk0v88drf.cloudfront.net/wav16k/STT_TT00520_0567_3627807_to_3631595.wav,STT_TT,3,66,3.788,wav16k/STT_TT00520_0567_3627807_to_3631595.wav,ད་རྒྱུད་ཀུན་གྱི་དོན་རེད་བ། རྒྱུད་ཀུན་གྱི་དོན་བསྡུས་པར་གསུངས་པ་ནི།
STT_NS0086_0034_253155_to_261261,ད་ལྟ་འཛམ་གླིང་ཡུལ་གྲུ་ཁག་ག་བ་ལ་ཡིན་ནས་དེ་དཔེ་ཡོད་རེད་ད། དམིགས་བསལ་གི་དགེ་རྒན་ལ་ག་རེ་ལབ་དགོས་རེད། བརྩི་བཀུར་བྱེད་ཡ་དང་དགེ་རྒན་ ,da lta 'dzam gling yul gru khag ga ba la yin nas de dpe yod red da/_dmigs bsal gi dge rgan la ga re lab dgos red/_brtsi bkur byed ya dang dge rgan _,https://d38pmlk0v88drf.cloudfront.net/wav16k/STT_NS0086_0034_253155_to_261261.wav,STT_NS,3,126,8.106,wav16k/STT_NS0086_0034_253155_to_261261.wav,ད་ལྟ་འཛམ་གླིང་ཡི་གདུས་ཁག་ག་བ་ལ་ཡིན་ནས་དེ་དཔེ་ཡོད་རེད་ད། དམིགས་བསལ་གི་དགེ་རྒན་ལ་ག་རེ་ལབ་དགོས་རེད། བརྩི་བཀུར་བྱེད་ཡ་དང་དགེ་རྒན་
STT_TT00615_0007_87005_to_91134,ཨེ་ནས་གཉིས་ནས་ཁྱེད་རང་ཚོ་དེར་ཅིག་སྒོམ་རྒྱག་གི་ཡོད་ཟེར།  ,e nas gnyis nas khyed rang tsho der cig sgom rgyag gi yod zer/__,https://d38pmlk0v88drf.cloudfront.net/wav16k/STT_TT00615_0007_87005_to_91134.wav,STT_TT,3,56,4.129,wav16k/STT_TT00615_0007_87005_to_91134.wav,ཨེ་ནས་གཉིས་ནས། ཁྱེད་རང་ཚོ་དེ་ ཅིག་སྒོམ་རྒྱག་གི་ཡོད་ཟེ།
STT_TT00614_0125_1114716_to_1117052,རྒྱ་རིགས་མི་མང་ནང་ལོགས་ལ་ང་ཚོ་འབྲེལ་བ་བྱེད་ཡ་དེ།  ,rgya rigs mi mang nang logs la nga tsho 'brel ba byed ya de/__,https://d38pmlk0v88drf.cloudfront.net/wav16k/STT_TT00614_0125_1114716_to_1117052.wav,STT_TT,3,50,2.336,wav16k/STT_TT00614_0125_1114716_to_1117052.wav,རྒྱ་རིགས་མི་མང་ནང་ལོགས་ལ་ ང་ཚོས་འབྲེལ་བ་བྱེད་ཡ་དེ།
STT_CS-X-2012-M-D-B09-6-R-03_0060_495025_to_503933,ཚོགས་ཐེངས་ག་རེ་རེད་ད། འོ་ཚོགས་ཐེངས། ཚོགས་ཐེངས་ག་རེ་རེད། ད་ཚོགས་ཐེངས།  ,tshogs thengs ga re red da/_'o tshogs thengs/_tshogs thengs ga re red/_da tshogs thengs/__,https://d38pmlk0v88drf.cloudfront.net/wav16k/STT_CS-X-2012-M-D-B09-6-R-03_0060_495025_to_503933.wav,STT_CS,3,70,8.908,wav16k/STT_CS-X-2012-M-D-B09-6-R-03_0060_495025_to_503933.wav,ཚོགས་ཐེངས་ག་རེ་རེད་ད། ཚོགས་ཐེངས། ཚོགས་ཐེངས་ག་རེ་རེ།  ཚོགས་ཐེང།
STT_CS-L-2017_2017-M_M-D_D-B01_B01-1_1-R_R-02_0103_715861_to_723370,ཨ་ནས་ཁྱོད། འདི་ཨ་ནས་འདི་ལ་དགའ་ཡོད། ཁ་སང་ཨ་ནས་དེ་ལ་དགའ་ཡོད། སུ་ལ་དགའ་ཡོད། ལབ་དང་། ལབ་དང་།  ,a nas khyod/_'di a nas 'di la dga' yod/_kha sang a nas de la dga' yod/_su la dga' yod/_lab dang /_lab dang /__,https://d38pmlk0v88drf.cloudfront.net/wav16k/STT_CS-L-2017_2017-M_M-D_D-B01_B01-1_1-R_R-02_0103_715861_to_723370.wav,STT_CS,3,90,7.509,wav16k/STT_CS-L-2017_2017-M_M-D_D-B01_B01-1_1-R_R-02_0103_715861_to_723370.wav,ཨ་ནས་ཁྱོད། འདི་ཨ་ནེ་འདི་ལ་དགའ་བ་ཡོད། ཕ་གི་ཨ་ནེ་འདི་ལ་དགའ་བ་ཡོད། སུ་ལ་དགའ་ཡོད། ལ་དང་།
STT_CS-L-2014_2012-P_P-D_D-B04_B05-4_5-R_R-01_0144_1151697_to_1157534,རྫོགས་སོང་ངེ་། ལབ་ཀྱི་མིན་འདུག་ག། ག་ཀུ་ཅིག་བྱེད་ཀྱི་མིན་འདུག་མར་ཉལ་རཱ།  ,rdzogs song nge /_lab kyi min 'dug ga/_ga ku cig byed kyi min 'dug mar nyal rA/__,https://d38pmlk0v88drf.cloudfront.net/wav16k/STT_CS-L-2014_2012-P_P-D_D-B04_B05-4_5-R_R-01_0144_1151697_to_1157534.wav,STT_CS,3,72,5.837,wav16k/STT_CS-L-2014_2012-P_P-D_D-B04_B05-4_5-R_R-01_0144_1151697_to_1157534.wav,རྫོགས་སོང་ངེ། ད་ནི་ར་གཟབ་ཚ་བྱས་མི་འདུག་ར་ཉས་ར།
